Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
41-50,Male,Tier 2,Rajasthan,Freelancer,Above 200000,Rarely,Instagram stores,Authenticity,Minimal modern,"Gift sets, Cushion covers, Handbags",Office handbag,Decorative organizers,Minimal embroidery,Light mirror work,Bright colors,Festive use,Above 2000,Above 4000,500-1500,Sometimes,Buy 2 Get 1,Yes,Reviews,4,No,Likely
41-50,Female,Tier 2,Delhi,Salaried Employee,100000-200000,Never,Local exhibitions,Utility,Minimal modern,Cushion covers,Tote bag,Cushion covers,Minimal embroidery,Light mirror work,Black / neutral,Daily use,Above 2000,1000-2000,500-1500,Sometimes,Flat discount,No,Reviews,2,No,Likely
41-50,Female,Metro,Rajasthan,Business Owner,Below 25000,Never,Instagram stores,Utility,Fusion,"Jackets / shrugs, Handbags",Clutch,Table runners,Moderate embroidery,Light mirror work,Pastel shades,Weddings,500-1000,2000-4000,Above 3000,No,Free shipping,No,Brand story,4,Yes,Very unlikely
Above 50,Female,Tier 1,Telangana,Freelancer,25000-50000,Frequently,Retail stores,Utility,Depends on product,Cushion covers,Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,Above 2000,Above 4000,Above 3000,No,Festival combo pack,Depends on reviews,Reviews,3,Yes,Unlikely
Above 50,Male,Tier 1,Karnataka,Homemaker,Below 25000,Never,Retail stores,Design,Traditional,"Laptop sleeves / utility pouches, Handbags, Cushion covers",Clutch,Cushion covers,Minimal embroidery,Strong mirror work,Earth tones,Gifting,Below 500,Below 1000,500-1500,No,Festival combo pack,No,Brand story,3,Yes,Unlikely
21-30,Female,Metro,Delhi,Student,100000-200000,Frequently,Retail stores,Brand,Minimal modern,"Cushion covers, Handbags, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Minimal embroidery,No mirror work,Earth tones,Weddings,500-1000,1000-2000,Below 500,Sometimes,Flat discount,Yes,Return policy,4,No,Highly likely
41-50,Male,Tier 2,Rajasthan,Salaried Employee,100000-200000,Frequently,Online marketplaces,Price,Traditional,"Cushion covers, Jackets / shrugs, Gift sets",Clutch,Wall décor textile,Moderate embroidery,No mirror work,Bright colors,Office use,Below 500,2000-4000,500-1500,No,Festival combo pack,No,Product images,1,No,Unsure
Below 20,Female,Tier 3 / Rural,West Bengal,Salaried Employee,50000-100000,Frequently,During travel,Price,Depends on product,Laptop sleeves / utility pouches,Office handbag,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,Below 500,2000-4000,500-1500,Sometimes,Flat discount,No,Product images,4,Yes,Unlikely
31-40,Female,Tier 1,Rajasthan,Freelancer,100000-200000,Occasionally,Local exhibitions,Price,Traditional,"Handbags, Cushion covers, Laptop sleeves / utility pouches",Clutch,Table runners,Minimal embroidery,No mirror work,Earth tones,Weddings,Above 2000,2000-4000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Return policy,1,Yes,Unsure
Below 20,Female,Tier 2,West Bengal,Salaried Employee,50000-100000,Rarely,Retail stores,Design,Depends on product,Jackets / shrugs,Tote bag,Decorative organizers,Moderate embroidery,Strong mirror work,Bright colors,Gifting,1000-2000,Below 1000,Below 500,No,Festival combo pack,Depends on reviews,Product images,1,No,Very unlikely
Below 20,Female,Tier 1,Rajasthan,Homemaker,50000-100000,Never,Online marketplaces,Authenticity,Traditional,Handbags,Sling bag,Table runners,Minimal embroidery,Strong mirror work,Bright colors,Weddings,Below 500,Above 4000,Below 500,Sometimes,Flat discount,Depends on reviews,Brand story,1,No,Unsure
41-50,Female,Tier 1,Telangana,Other,Above 200000,Rarely,Local exhibitions,Authenticity,Fusion,Gift sets,Tote bag,Cushion covers,Heavy embroidery,No mirror work,Black / neutral,Gifting,Above 2000,Below 1000,Above 3000,Strongly yes,Free shipping,No,Reviews,5,No,Unsure
Below 20,Male,Metro,Karnataka,Other,Above 200000,Rarely,Local exhibitions,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Office handbag,Wall décor textile,Moderate embroidery,Strong mirror work,Pastel shades,Festive use,1000-2000,Above 4000,500-1500,Sometimes,Free shipping,Depends on reviews,Return policy,2,Yes,Unsure
21-30,Female,Tier 3 / Rural,Karnataka,Student,50000-100000,Occasionally,During travel,Design,Minimal modern,"Gift sets, Laptop sleeves / utility pouches",Tote bag,Decorative organizers,Moderate embroidery,No mirror work,Bright colors,Weddings,Below 500,Above 4000,Below 500,Sometimes,Free shipping,No,Product images,3,Yes,Highly likely
21-30,Female,Tier 2,Telangana,Other,50000-100000,Frequently,Instagram stores,Brand,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches",Sling bag,Table runners,Minimal embroidery,Light mirror work,Earth tones,Weddings,Below 500,Below 1000,Above 3000,Strongly yes,Free shipping,Yes,Brand story,4,No,Highly likely
41-50,Female,Tier 2,Telangana,Homemaker,Above 200000,Occasionally,Retail stores,Design,Fusion,"Cushion covers, Gift sets, Jackets / shrugs",Office handbag,Table runners,Minimal embroidery,Light mirror work,Bright colors,Festive use,Below 500,1000-2000,1500-3000,No,Flat discount,Yes,Reviews,2,No,Likely
21-30,Female,Tier 1,Rajasthan,Student,Above 200000,Frequently,Online marketplaces,Brand,Minimal modern,"Laptop sleeves / utility pouches, Jackets / shrugs, Handbags",Clutch,Decorative organizers,Moderate embroidery,No mirror work,Bright colors,Daily use,Below 500,1000-2000,Above 3000,Strongly yes,Festival combo pack,Yes,Return policy,4,Yes,Likely
21-30,Male,Metro,Telangana,Homemaker,Below 25000,Occasionally,During travel,Design,Fusion,"Handbags, Jackets / shrugs",Clutch,Table runners,Moderate embroidery,No mirror work,Pastel shades,Daily use,Above 2000,Below 1000,Below 500,No,Buy 2 Get 1,Yes,Product images,3,No,Unsure
21-30,Female,Metro,Karnataka,Freelancer,50000-100000,Rarely,During travel,Utility,Minimal modern,Jackets / shrugs,Office handbag,Cushion covers,Heavy embroidery,No mirror work,Pastel shades,Festive use,Below 500,2000-4000,500-1500,No,Festival combo pack,Yes,Return policy,5,No,Unlikely
21-30,Female,Tier 2,Tamil Nadu,Salaried Employee,Above 200000,Occasionally,During travel,Authenticity,Traditional,Jackets / shrugs,Sling bag,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Gifting,Above 2000,Above 4000,500-1500,Strongly yes,Festival combo pack,Depends on reviews,Return policy,5,No,Unsure
Above 50,Male,Tier 2,Karnataka,Other,Below 25000,Frequently,Retail stores,Price,Fusion,Laptop sleeves / utility pouches,Office handbag,Cushion covers,Heavy embroidery,No mirror work,Black / neutral,Daily use,1000-2000,Above 4000,500-1500,No,Free shipping,Depends on reviews,Return policy,5,Yes,Highly likely
Below 20,Female,Metro,Tamil Nadu,Freelancer,Below 25000,Rarely,During travel,Brand,Fusion,"Gift sets, Laptop sleeves / utility pouches",Tote bag,Wall décor textile,Minimal embroidery,Light mirror work,Earth tones,Weddings,Below 500,1000-2000,500-1500,Strongly yes,Flat discount,No,Brand story,5,No,Highly likely
21-30,Male,Tier 1,Gujarat,Freelancer,Above 200000,Occasionally,Local exhibitions,Brand,Traditional,"Cushion covers, Gift sets",Tote bag,Cushion covers,Moderate embroidery,No mirror work,Earth tones,Office use,Above 2000,1000-2000,1500-3000,No,Buy 2 Get 1,No,Brand story,3,Yes,Highly likely
41-50,Female,Tier 3 / Rural,Tamil Nadu,Freelancer,Below 25000,Rarely,Online marketplaces,Authenticity,Traditional,"Cushion covers, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Moderate embroidery,Strong mirror work,Pastel shades,Festive use,Above 2000,Below 1000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Reviews,5,Yes,Very unlikely
41-50,Female,Tier 3 / Rural,Karnataka,Salaried Employee,Below 25000,Frequently,Online marketplaces,Brand,Fusion,"Cushion covers, Handbags",Clutch,Decorative organizers,Moderate embroidery,Light mirror work,Black / neutral,Weddings,Below 500,Above 4000,500-1500,Sometimes,Free shipping,No,Product images,2,No,Highly likely
Below 20,Female,Tier 2,West Bengal,Student,Below 25000,Frequently,During travel,Utility,Traditional,Laptop sleeves / utility pouches,Sling bag,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Daily use,500-1000,1000-2000,Above 3000,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,5,Yes,Likely
Below 20,Female,Tier 2,Karnataka,Business Owner,Above 200000,Occasionally,Online marketplaces,Authenticity,Minimal modern,Jackets / shrugs,Clutch,Wall décor textile,Heavy embroidery,Strong mirror work,Black / neutral,Weddings,Below 500,Below 1000,1500-3000,Strongly yes,Buy 2 Get 1,Depends on reviews,Reviews,5,Yes,Very unlikely
